


本科毕业论文（设计）

题目： 基于微信小程序的英语随时学的设计与实现                                      
  




　　　　　　　学       院：   信息科学与工程学院          
　　　　　　　专       业：   计算机科学与技术        
　　　　　　　学 生 姓 名：   杜  恒              
　　　　　　　学       号：   632107060410      
　　　　　　　指 导 教 师：   周  翔              
　　　　　　　评 阅 教 师：                       
　　　　　　　完 成 时 间：   2025年5月20日     
　　　　　　　　　
                   重庆交通大学
CHONGQING JIAOTONG UNIVERSITY

本科毕业论文（设计）原创性声明
　　本人郑重声明：所提交的毕业论文（设计），是本人在导师指导下，独立进行研究工作所取得的成果。除文中已注明引用的内容外，本论文不包含任何其他个人或集体已经发表或撰写过的作品成果。对本文研究做出过重要贡献的个人和集体，均已在文中以明确方式标明。
　　本人完全意识到本声明的法律后果由本人承担。
　　作者签名（亲笔）：                    年     月     日
-------------------------------------------------------------------------------------------------
本科毕业论文（设计）版权使用授权书
　　本毕业论文（设计）作者完全了解学校有关保留、使用学位论文的规定，本科生在校攻读期间毕业论文（设计）工作的知识产权单位属重庆交通大学，同意学校保留并向国家有关部门或机构送交论文的复印件和电子版，允许论文被查阅和借阅；本人授权重庆交通大学可以将毕业论文（设计）的全部或部分内容编入有关数据库进行检索，可以采用影印、缩印或扫描等复制手段保存、汇编毕业设计（论文）。
    作者签名（亲笔）：                    年     月     日
　　导师签名（亲笔）：                    年     月     日











摘    要
　　在数字经济盛行的当今环境下，人工智能大模型以及软件技术的迅速兴起，越来越多的英语学习者对于英语的学习更倾向于数字化学习。基于微信小程序的英语学习平台因其便捷性，即时性和个性化服务优势，逐渐成为现代语言学习的重要工具。本文为了满足用户多样化的英语学习需求，设计并实现了一个基于微信小程序的英语随时学的平台，此平台融合了智能化推荐算法以及交互式学习模式，其主要功能模块包括：基于用户学习水平的个性化单词推荐、多功能单词学习、精准化单词测试、人工智能文本对话答疑、英语发音评测助手以及完善的后台管理系统。系统通过智能化途径和自适应算法极大的提高用户英语学习水平，通过人工智能赋能英语学习实现普惠化，本系统研究主要介绍该课题的研究背景，开发环境，系统总体设计，系统的详细设计以及该平台各功能模块的测试。

关键词：英语学习；微信小程序；人工智能；英语发音评测助手；个性化推荐；



Design and Implementation of an Anytime English Learning WeChat Mini-Program  

Abstract 
　　With the rapid technology development，AI and soft skill are also reshaping the style of English learning quickly.More and more English learners now prefer to choose the flexible and convenient tech-based studying.In response to this trend，thesis designed the uniapp base don Wechat applets to help user to improve the quality of English Learning.The English learning platform based on WeChat mini programs has gradually become an important tool for modern language learning due to its convenience, immediacy, and personalized service advantages. The platform provides a user-friendly vocabulary recommendation, learning exercise, interactive AI dialogue training, progress monitoring with a variety of learning tools. It integrates the popular spread advantage of WeChat with artificial intelligence technology and implements an interactive method by choosing the front-end applet framework on the one hand and the back-end natural language processing model on the other hand.The experiment verified the feasibility of the main functions of the platform (i.e. personalized word recommendation and intelligent AI dialogue), and the research results indicate that the lightweight AI mobile platform can effectively help language learning, particularly suitable for learners with the pursuit of convenience. The work should be improved and optimized on the capability of dialog situation understanding and the adaptive learning function in the future.This work validate the role of integration between user-friendly smartphones apps and artificial intelligence to empower digital age the language learning equity.The system greatly improves users' English learning level through intelligent approaches and adaptive algorithms, empowering English learning with artificial intelligence to achieve universality. 
Keywords: English learning; WeChat mini-program; artificial intelligence; English Pronunciation Assessment Assistant; Personalized recommendations;

目    录

摘    要	II
Abstract	III
目录	III
第一章 绪论	1
1.1  研究背景	1
1.2  研究目的及意义	2
1.3  国内外研究描述	2
1.3.1 微信小程序	2
1.3.2 英语学习系统发展	3
1.4  研究内容	4
1.5  结构安排	6
1.6  本章小结	7
第二章 开发环境与工具	7
2.1  系统开发语言	7
2.2  系统开发平台	9
2.3  系统框架	9
2.3.1  小程序框架	9
2.3.2  后端框架	11
2.3.3  后台管理框架	11
2.4  系统架构	12
2.5  相关技术简介	12
2.5.1  MyBatis	12
2.5.2  MySQL	13
2.5.3  AI文本对话	13
2.5.4  Redis技术	14
2.5.6  WebSocket	15
2.5.7  Nginx	15
2.6  本章小结	15
第三章 系统可行性与需求分析	16
3.1  系统目标	16
3.2  系统可行性分析	16
3.2.1  经济可行性	17
3.2.2  技术可行性	17
3.2.3  用户操作可行性	18
3.2.4  法律可行性	19
3.3  系统功能需求	19
3.3.1. 客户端模块	19
3.3.2. 系统管理员模块	20
3.3.3. 客服模块	20
3.4  需求分析	20
3.4.1  用户用例图	20
3.4.2  用户主页模块图	22
3.4.3  错题集用例图	23
3.4.4  默写用例图	24
3.4.5  管理员用例图	25
3.4.6  系统业务流程图	27
3.5  本章小结	28
第四章 系统总体设计	29
4.1  系统架构设计	29
4.1.1 通用基础模块（Common）	29
4.1.2 数据持久化模块（Mapper）	29
4.1.3 领域模型模块（POJO）	29
4.1.4 业务处理模块（Service）	29
4.1.5 接口服务模块（Mini-API/Controller）	30
4.2  系统模块设计	30
4.3  系统数据库设计	31
4.3.1  E-R图设计	31
4.3.2  数据库表设计	32
4.4  本章小结	42
第五章  系统详细设计	43
5.1  用户模块设计	43
5.1.1 注册登录流程	43
5.1.2单词学习流程	49
5.1.3用户打卡流程设计	52
5.1.4个性化词库	57
5.1.5单词消消乐游戏	59
5.1.6文章阅读模块	62
5.1.7学习数据模块	66
5.1.8个人信息模块	70
5.1.9单词测试模块	72
5.1.10学习笔记模块	75
5.2  用户主页模块	76
5.2.1  构建用户无状态会话	78
5.2.2  拦截器实现	80
5.3  错题集模块	80
5.3.1 错题收集机制	81
5.3.2 错题分类存储	81
5.3.3 错题复习流程	82
5.4  单词默写模块	84
5.4.1 章节划分策略	85
5.4.2 默写流程设计	85
5.5  VIP服务模块	87
5.5.1  英语发音评测模块	88
5.5.2  精准测试模块	90
5.6  单词推荐模块	90
5.7  客服模块	93
5.8  后台管理模块	94
5.8.1  用户信息管理	95
5.8.2  单词管理	98
5.8.3  文章管理	100
5.8.4  数据可视化管理	105
5.8.5  个人信息管理	106
5.9  本章小结	107
第六章  系统测试	108
6.1  系统测试目的	108
6.2  系统测试方法与用例	109
6.2.1  用户模块测试	109
6.2.2  用户主页模块测试	111
6.2.3  错题集模块测试	112
6.2.4  默写模块测试	113
6.2.5  后台管理模块	113
6.3  本章小结	114
第七章  总结与展望	115
致谢	116
参考文献	117



第一章 绪论
1.1  研究背景
　　在设计基于微信小程序的英语随时学系统时，主要是结合了当下经济全球化的背景下，社会经济与文化的各个方面同国际间的交流程度日益加深，人们为了能够跟上时代的步伐，因此对于英语的学习是迫切的。这是因为随着国家与国家之间的交流与合作的日益的频繁，英语作为普遍通用的语言，其重要性也逐渐突出。英语的学习无论是在国际贸易或者文化交流或者学术研究等交叉领域内具有坚实的作用，即英语扮演着重要的角色。对英语的掌握程度不仅能够实现拓宽自己的视野，也能够实现拓宽在职业发展过程中的道路，提升个人文化素质。基于以上对于英语学习的重视程度的提高，诸多学者对于英语学习系统的发展也在持续的进行研究。
　　其次，传统的英语学习的方式会经常受到时间和空间的限制，这样是难以满足当今社会发展的趋势以及人们对英语学习的需求。经济的发展导致智能手机的普及，因此这一变化也直接导致微信成为国名喜爱的社交平台。微信小程序也因此诞生于该平台中，因其作为一种无需下载安装就可以进行使用的应用程序，其主要优点就是具有便捷，高效以及占用内存小等，因此深受广大用户的喜爱。用户可以通过微信小程序并利用自己的碎片化时间来提高英语能力，也提高了用户的学习效率。
　　Uniapp作为一款优秀的跨平台的开发框架，它能够实现一次编写并多端运行。利用Uniapp开发的微信小程序，可以缩短开发周期，降低开发成本，还能保证应用在不同的平台具有相同的用户体验，具有极强的健壮性。此外，现如今的英语学习的应用程序虽然其种类繁多，但是在一些地方仍然具有一些不足之处。因此为了使得开发的系统具有有针对性，则需要广泛搜集用户在学习英语方面的实际需求，这样才能使得该应用程序能够满足广大用户的学习体验。而不是只是为了应试教育而学习英语，使得英语学习具有更多的乐趣。
　　综上所述，在分析学习英语的重要性，微信小程序开发的便捷性以及学者徐学敏通过大数据技术统计了男女对微信小程序App来学习英语的满意度调查，数据显示，微信小程序对于英语的学习是利大于弊的[1]，因此本文将详细阐述基于微信小程序的英语随时学系统的设计与实现。
1.2  研究目的及意义
　　此研究项目主要是聚焦于用户能够随时随地的对英语的学习，旨在利用当下的技术解决用户在学习英语方面的需求，运用微信小程序技术和网页的前后端开发技术，用HBuilderX+Uniapp进行客户端代码的书写，然后使用腾讯的微信开发者工具进行微信小程序的编译执行；对于网页端技术，主要运用Java编程技术以及Html，Js，Css的网页开发技术进行编写，利用开发框架SpringBoot+Vue+MyBatis技术进行网页前后端的制作，使得用户可以随时随地的利用自己的课余时间进行英语的学习。
　　本研究将系统考察微信小程序的技术架构、英语学习者的核心需求以及移动学习的特点，设计与开发一个融合单词记忆、听力训练、口语评测及学习社群等功能的英语学习小程序，以期构建移动互联网时代的新型语言学习模式，为教育科技领域的创新发展提供实践案例与理论参考。
　　
1.3  国内外研究描述
1.3.1  微信小程序
　　近年来，随着互联网、大数据与人工智能技术的快速发展及其在社会各领域的深度融合，加之"人类命运共同体"理念的提出，中国与全球各国的交流合作日益频繁。在此背景下，英语作为国际通用语言的重要性进一步凸显，社会大众对英语学习的需求呈现显著增长态势。然而，传统英语学习模式受限于时间与空间的约束，已难以满足现代社会的多元化学习需求。基于此，"英语随时学"微信小程序应运而生。该程序依托互联网技术优势，整合海量优质学习资源，运用大数据技术分析用户学习行为特征，实现个性化学习内容推荐。同时，结合人工智能技术开发智能口语评测、实时翻译等核心功能。用户通过微信平台即可随时随地进行英语学习，有效突破了传统学习方式的时空限制，高度契合现代社会高效便捷的学习需求。吕兰兰（2023）基于腾讯云智聆评测技术开发的英语朗读评测小程序，经实证研究证实可显著提升用户的英语语言学习能力[2]。
　　在数字化转型背景下，微信小程序作为一种创新型应用模式，不仅在国内引发广泛关注，也逐步受到国际学术界的重视。现有研究表明，微信小程序研究领域以中国学者为主导。Wang等针对基于微信小程序的汉语学习系统进行了深入研究，其成果为外语学习平台开发提供了重要参考[3]。王雪和丛佳玉的研究则着重探讨了微信小程序在英语教学中的应用价值，证实了其对提升英语学习效果具有积极作用[4][5]。
　　在技术实现层面，陆禹文与詹泽晔等通过系统分析微信小程序的技术特性，构建了包含单词记忆、拼写训练等功能的移动学习平台[6][7]。高策和陈芙等进一步指出，随着移动互联网技术的普及，开发基于微信小程序的英语学习平台具有现实必要性，并从用户需求分析、开发环境搭建等维度论证了平台设计的可行性[8][9]。国外学者 Christian Montag 等人针对微信的功能展开了研究，并将其与 Facebook、WhatsApp 等其他热门应用程序进行对比分析，指出未来有必要对微信这类媒体平台在人际交往能力、幸福感以及心理健康等方面产生的影响开展系统性研究[10][11][12]。此外，杨武锋等和李佳乐等的研究表明，微信小程序在经济领域的成功应用也为教育类小程序开发提供了可借鉴的商业模式[13[14]。
　　通过系统梳理国内外相关研究，本研究对基于微信小程序的英语学习平台应具备的功能模块和开发流程形成了更深入的认识，为"英语随时学"小程序的设计与实现奠定了理论基础
1.3.2  英语学习系统发展
　　英语语言的学习在90年代初已经有学者开展了研究，在学者成瑾，冯瑞英发表的殷都学刊中的关于英语学习的非智力与英语教学中，着重强调了英语教学自然应该加上"培养口译和笔译能力、训练和外国有人交流交际的技巧；如果学生有良好的拼写读写，书写的习惯，工整不苟，那英语单词的记忆就会搭建功效，错读误写的情况，将会大加减少[15]；在20世纪初，学者孙杰在对英语语言学习的过程中着重强调了自学能力，即需要学生在自学能力的培养过程中使得学生获得成就感、快乐感并以此来激发学生的学习兴趣，因此一个正确的自学方法就能够进一步提高学生学习的自主能力，并以此来推动学生的创造能力的形成和发展[16]；在英语学习系统发展的今天，有学者胡燕萍通过分析高职学生英语学习力现状及提升策略探析的研究即主要通过对学生学习力情况分析，学习力的内涵主要由学习动力、学习毅力、学习能力和学习转化力构成，因此通过对占高等教育一般的高职学生，对于英语的学习仍然需要树立正确的学习动机，用适当的干预政策提高学生对英语的学习兴趣[17]。
　　通过对上述三个阶段中对于英语学习系统发展的主要策略，可以得知，对于目前英语学习系统发展方向主要集中于提高用户的口译和笔译能力，并使用合适的方式，提高用户学习英语的兴趣，因此，在基于微信小程序的英语随时学系统中，则主要通过对用户的个性化学习，例如单词消消乐闯关游戏可以提高其学习兴趣，使用个人学习数据可视化展示，错题集模块，每日打卡，AI对话以及基于科大讯飞的英语发音评测助手，章节默写模块以及章节默写报告等功能可以提高用户的学习兴趣的同时，还可以帮助用户可以针对自己的薄弱环节进行学习，可以极大的提高学生的英语语言能力。
1.4  研究内容
　　随着现如今互联网技术的蓬勃发展以及其广泛的应用，传统的英语学习方式正在转向数字化，智能化。因此在这样的时代背景下，微信小程序的优点也日益突出，其凭借着无需下载安装以及随时随地都可以供用户使用的优点受到越来越多的年轻人的青睐，成功架起了用户与多元化服务之间的桥梁。本论文主要聚焦于设计并实现一个集成用户个人信息管理，单词学习推荐，个性化习题集，英语发音评测以及高效的后台管理功能的微信小程序--"英语随时学平台"，其目的在于为用户实现英语的个性化学习以及沉浸式的学习，并为英语教育工作者提供一款可以显示当下年轻人英语学习侧重点的学习数据，促进英语教学的发展。
　　在客户端用户的个人信息模块中，该项目设计了包含用户注册，用户登录，忘记密码以及用户个人信息维护的完整流程，其目的在于帮助用户能够更好的体验该系统，也保证了用户数据的安全性。在该系统中，对于英语学习的主要模块有，单词学习模块主要包含了用户可以对单词执行各种的行为操作，例如收藏，喜欢，标记学习，标记认识等诸多的操作；英语文章阅读模块主要提供给用户一个可以阅读英语文章的平台；每日打卡模块以及打卡记录模块主要是为了激发用户的学习兴趣，使得用户可以通过每日打卡从而获得相应的积分；AI客服模块中用户可以将自己的英语问题随时提交给基于科大讯飞人工智能大模型的接口，从而得到答复；单词测试模块则是巧妙结合了单词推荐算法以至于达到精准推荐的效果，通过将用户的一些行为进行分析，例如用户对该单词的掌握程度，单词是否认识，单词的错误情况等指标进行占比的划分，从而计算出每个单词的推荐分数，以此来达到精准的单词推荐的功能；错题集模块的主要作用就是帮助用户存储在打卡过程中或者单词测试的过程中书写错误的单词进行统计并给予用户查看；单词默写模块主要是帮助用户能够记住单词的写法并使用生成的默写报告，帮助用户进行查缺补漏；英语发音评测模块主要是帮助用户找到英语发音的一些漏洞，提高用户的发音水平。以上模块则是该系统设计的核心内容，旨在帮助用户能够精准化的实现英语的学习。
　　在该系统中也使用了学习数据模块来辅助用户进行学习数据的查看，用户通过查看本周的学习情况来了解这一周的任务是否完成，系统推出的学习笔记模块旨在帮助用户能够对当日记忆深刻的事情或学习单词的任务进行记录，辅助用户的日常生活学习。以上主要阐述的即为在客户端小程序用户对英语学习的主要内容。
　　在系统管理员端即系统后台管理部分主要的作用就是着重于对客户端用户学习数据的展示，主要包含六个模块，包括首页信息模块，用户信息模块，英语文章信息管理模块，英语单词信息管理模块，数据可视化分析模块以及个人信息管理模块。以上模块旨在更好的维护整个系统的平稳运行，维护平台秩序，提升用户的系统体验感。
　　在安全性能方面，系统采用了密码加密以及用户登录Token验证的方面，防止了用户信息的泄露，对用户在系统中的行为数据进行界面可视化的实时反馈，实现了系统以用户为中心的服务理念。通过对平台的不断优化，为系统的长远发展提供了保障。
　　本系统的研究流程具体分为以下几个阶段，遵循科学研究的逻辑性和实践性原则：
　　首先，在文献回顾与需求分析方面 ，通过回顾国内外关于英语学习的APP，微信小程序，个性化推荐系统以及相关技术的研究文献，总结了现有的技术和不足之处。对于该系统中，通过调查问卷以及使用英语学习相关APP或者微信小程序等方式，收集到了用户对于英语学习的需求以及偏好，明确了系统的核心竞争力。
　　其次，在系统设计与技术选型 方面，根据系统的需求分析的结果，绘制该平台的业务流程图明确系统的功能架构，以及明确客户端以及网页端用户的各个模块的具体功能特点，并选择合适的开发框架（uni-app），数据库（Mysql），AI大模型（科大讯飞），网页端开发框架（Vue）等，这样就能够确保系统的高可用性和可扩展性。
